	BIGG	Name	CHEBI
0	pe160	phosphatidylethanolamine (dihexadecanoyl, n-c16:0)	CHEBI:73005
0	peamn	phenethylamine	CHEBI:14782
0	phe__L	l-phenylalanine	CHEBI:13151
0	progly	l-prolinylglycine	CHEBI:61695
0	psclys	psicoselysine	CHEBI:61403
0	pser__L	o-phospho-l-serine	CHEBI:12718
0	pydx	pyridoxal	CHEBI:131530
0	r5p	alpha-d-ribose 5-phosphate	CHEBI:10270
0	rib__D	d-ribose	CHEBI:13011
0	sel	selenate	CHEBI:15075
0	ser__D	d-serine	CHEBI:13019
0	succ	succinate	CHEBI:132287
0	sucr	sucrose c12h22o11	CHEBI:15128
0	tartr__D	d-tartrate	CHEBI:11077
0	thr__L	l-threonine	CHEBI:13175
0	thymd	thymidine c10h14n2o5	CHEBI:15244
0	tma	trimethylamine	CHEBI:15261
0	tmao	trimethylamine n-oxide	CHEBI:15262
0	udcpdp	undecaprenyl diphosphate	CHEBI:15284
0	ump	ump c9h11n2o9p	CHEBI:13508
0	ura	uracil	CHEBI:15288
0	urea	urea ch4n2o	CHEBI:134711
0	xan	xanthine	CHEBI:10059
0	xylu__L	l-xylulose	CHEBI:13190
0	zn2	zinc	CHEBI:10113
0	2kmb	2-keto-4-methylthiobutyrate	CHEBI:12029
0	mmcoa__R	(r)-methylmalonyl-coa	CHEBI:10976
0	1ag3p_SC	1 acyl sn glycerol 3 phosphate c1920h3622o700p100	CHEBI:11227
0	1mncam	1 methylnicotinamide c7h9n2o	CHEBI:11267
0	1p3h5c	l 1 pyrroline 3 hydroxy 5 carboxylate c5h6no3	CHEBI:6151
0	23dhmb	(r)-2,3-dihydroxy-3-methylbutanoate	CHEBI:10966
0	23dpg	2 3 disphospho d glycerate c3h3o10p2	CHEBI:11417
0	2dglc	2 deoxy d glucose c6h12o5	CHEBI:1078
0	2mbac	2 methylbutyl acetate c7h14o2	CHEBI:50585
0	2mbald	2 methylbutyraldehyde c5h10o	CHEBI:11615
0	2mbtoh	2 methyl 1 butanol c5h12o	CHEBI:48945
0	2mcit	2-methylcitrate	CHEBI:10860
0	2mppal	2 methylpropanal c4h8o	CHEBI:48943
0	2oxoadp	2 oxoadipate c6h6o5	CHEBI:11635
0	2phetoh	2 phenylethanol c8h10o	CHEBI:44780
0	34hpp	3-(4-hydroxyphenyl)pyruvate	CHEBI:11725
0	3dh5hpb	3 hexaprenyl 4 5 dihydroxybenzoate c37h53o4	CHEBI:11798
0	3hdcoa	(s)-3-hydroxydecanoyl-coa	CHEBI:18779
0	3hhdcoa	(s)-3-hydroxyhexadecanoyl-coa	CHEBI:18752
0	3mbald	3 methylbutanal c5h10o	CHEBI:11854
0	3odcoa	3-oxodecanoyl-coa	CHEBI:1633
0	4aabutn	4 acetamidobutanoate c6h10no3	CHEBI:11951
0	4abut	4-aminobutanoate	CHEBI:11961
0	4abz	4-aminobenzoate	CHEBI:113372
0	4gudbutn	4 guanidinobutanoate c5h11n3o2	CHEBI:11991
0	4h2oglt	4 hydroxy 2 oxoglutarate c5h4o6	CHEBI:11993
0	4hbzcoa	4 hydroxybenoyl coa c28h36n7o18p3s	CHEBI:12004
0	4hpro_LT	trans 4 hydroxy l proline c5h9no3	CHEBI:10713
0	5dpmev	 r  5 diphosphomevalonate c6h10o10p2	CHEBI:10989
0	5fthf	5-formyltetrahydrofolate	CHEBI:12127
0	ACP	acyl carrier protein	CHEBI:14405
0	L2aadp6sa	l 2 aminoadipate 6 semialdehyde c6h11no3	CHEBI:11519
0	Lfmkynr	l formylkynurenine c11h12n2o4	CHEBI:12505
0	NPmehis	n pai  methyl l histidine c7h11n3o2	CHEBI:133608
0	Nfortyr	n formyl l tyrosine c10h10no4	CHEBI:50603
0	Ssq23epx	 s  squalene 2 3 epoxide c30h50o	CHEBI:11026
0	Ssq23epx	 s  squalene 2 3 epoxide c30h50o	CHEBI:11026
0	T4hcinnm	trans 4 hydroxycinnamate c9h7o3	CHEBI:11978
0	acACP	acetyl-acp	CHEBI:13713
0	aces	acetic ester c4h8o2	CHEBI:13244
0	acg5sa	n-acetyl-l-glutamate 5-semialdehyde	CHEBI:11493
0	acrn	o acetylcarnitine c9h17no4	CHEBI:12711
0	ade	adenine	CHEBI:13733
0	adp	adp c10h12n5o10p2	CHEBI:13222
0	akg	2-oxoglutarate	CHEBI:11638
0	alltt	allantoate	CHEBI:13760
0	apep	nalpha acetylpeptide c6h7n2o4r2	CHEBI:12676
0	aprop	alpha aminopropiononitrile c3h7n2	CHEBI:10212
0	arab__D	d arabinose c5h10o5	CHEBI:46994
0	arg__L	l-arginine	CHEBI:13077
0	arg__L	l-arginine	CHEBI:13077
0	atp	atp c10h12n5o13p3	CHEBI:10789
0	atp	atp c10h12n5o13p3	CHEBI:10789
0	cdp	cdp c9h12n3o11p2	CHEBI:13254
0	cit	citrate	CHEBI:132362
0	cmaphis	2 3 carboxy 3  methylammonio propyl l histidine c11h18n4o4	CHEBI:11492
0	co2	co2 co2	CHEBI:13282
0	co2	co2 co2	CHEBI:13282
0	crn	l-carnitine	CHEBI:11817
0	cyst__L	l-cystathionine	CHEBI:13093
0	dadp	dadp c10h12n5o9p2	CHEBI:10489
0	dann	7,8-diaminononanoate	CHEBI:12242
0	dcdp	dcdp c9h12n3o10p2	CHEBI:10492
0	dhlam	dihydrolipoamide c8h17nos2	CHEBI:14153
0	dhpt	dihydropteroate	CHEBI:14160
0	dnad	deamino-nad+	CHEBI:14103
0	dolp	dolichol phosphate c15h27o4p	CHEBI:23875
0	dolp	dolichol phosphate c15h27o4p	CHEBI:23875
0	dpcoa	dephospho-coa	CHEBI:11793
0	fecost	fecosterol c28h46o	CHEBI:11663
0	fmn	fmn c17h19n4o9p	CHEBI:13317
0	focytc	ferrocytochrome c c42h53fen8o6s2	CHEBI:14248
0	g6p_B	beta d glucose 6 phosphate c6h11o9p	CHEBI:10399
0	glu5sa	l-glutamate 5-semialdehyde	CHEBI:13109
0	gly	glycine	CHEBI:10792
0	glyc3p	glycerol 3-phosphate	CHEBI:10648
0	gthrd	reduced glutathione	CHEBI:12402
0	gthrd	reduced glutathione	CHEBI:12402
0	h2o2	hydrogen peroxide	CHEBI:13354
0	h2o	h2o h2o	CHEBI:10743
0	h2o	h2o h2o	CHEBI:10743
0	h	h+	CHEBI:10744
0	h	h+	CHEBI:10744
0	hco3	bicarbonate	CHEBI:13351
0	hcys__L	l-homocysteine	CHEBI:13122
0	hdca	hexadecanoate (n-c16:0)	CHEBI:14730
0	hdd2coa	trans-hexadec-2-enoyl-coa	CHEBI:10728
0	hemeA	heme a c49h55fen4o6	CHEBI:24479
0	hemeO	heme o c49h56fen4o5	CHEBI:24480
0	hexdp	all trans hexaprenyl diphosphate c30h49o7p2	CHEBI:10192
